Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,Is Average d electrons>=5? Yes (1) or no (0),pH,Catalyst Loading (mg/cm2),Catalyst>=1 or not,Overpotential (mV),Grade
Co3O4,Co,1,0,1,3,0,0,7,3,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.57,0,14,,,340,A
Ni2Fe1-O,Ni,1,0,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,2.571428571,0,14,0.1,0,267,A
Co–Fe–O/rgo,Co,1,0,1,4,0,0,3,0,0,GC,0,1,0,1,0,0,0,0,0,0,0,0,2.571428571,0,14,0.1,0,400,F
FeOx,Fe,0,0,0,0,0,0,8,0,0,TM_based,0,0,0,1,0,0,0,0,0,0,0,0,2.571428571,0,14,0.4,0,407,F
CeO2-CuCoO/NF,Co,1,0,0,0,0,1,6,1,1,NF,58,1,0,0,0,0,1,0,0,0,0,0,2.571428571,0,14,1,1,266,A
Au/CoMoO4,Co,1,0,0,0,0,1,7,3,1,GC,79,1,0,0,1,0,0,0,0,0,0,0,2.571428571,0,14,7.25,1,270,A
ZnCo2O4/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,2,0,0,0,0,0,1,0,0,0,0,2.571428571,0,14,,,340,A
Co3O4,Co,1,0,0,0,0,0,2,3,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,2.571428571,0,13,,,408,F
Co8.7Fe1.3Ox / NPC,Co,1,0,1,2,1,0,7,0,1,GC,0,8.7,0,1.3,0,0,0,0,0,0,0,0,2.71,0,14,0.357,0,408,F
NiCo2O4/Ti4O7,Co,1,0,0,0,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,4,2.71,0,14,,,398,F
NiO/Ni,Ni,1,0,0,0,0,0,6,1,1,TM_based,0,0,1,0,0,0,0,0,0,0,0,0,2.8,0,14,,,294,A
Co3O4/CC,Co,1,0,1,3,0,0,2,2,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.8125,0,14,0.82,0,320,A
Co2V2O7,Co,0,0,0,0,0,0,7,0,1,GC,0,2,0,0,0,0,0,0,0,2,0,0,2.857,0,14,0.28,0,340,A
Co1.25Cr1.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,1.25,0,0,0,0,0,0,1.75,0,0,0,2.857,0,14,0.84,0,380,F
CoO/Co3O4,Co,1,0,0,0,0,0,5,0,1,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,2.964285714,0,14,,,260,A
MnOx/CNT/NF,Other TMs,1,0,1,1,0,0,6,1,1,NF,0,0,0,0,0,1,0,0,0,0,0,0,3,0,14,0.28,0,270,A
Co1.5Cr1.5O4,Co,0,0,0,0,0,0,3,0,0,GC,0,1.5,0,0,0,0,0,0,1.5,0,0,0,3,0,14,0.84,0,390,F
NiCo2O4,Co,0,0,0,0,0,0,7,0,0,NF,0,2,1,0,0,0,0,0,0,0,0,0,3,0,14,1.12,1,270,A
NiCo2O4,Co,0,0,0,0,0,0,6,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,3,0,14,25.5,1,428,F
NiOx,Ni,1,0,0,0,0,0,7,1,0,TM_based,0,0,1,0,0,0,0,0,0,0,0,0,3.071428571,0,14,,,378,F
Co10Ox / NPC,Co,1,0,1,2,1,0,7,0,1,GC,0,10,0,0,0,0,0,0,0,0,0,0,3.114285714,0,14,0.357,0,430,F
Co3V2O8,Co,0,0,0,0,0,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,2,0,0,3.285714286,0,14,0.21,0,359,F
NiCo2O4/graphene,Co,1,0,1,2,0,0,7,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,3.333333333,0,13,0.407,0,440,F
Co–Fe–O/rgo,Co,1,0,1,4,0,0,3,0,0,GC,0,2,0,1,0,0,0,0,0,0,0,0,3.5,0,14,0.1,0,340,A
NaNi0.75Fe0.25O2,Ni,1,0,0,0,0,1,8,0,0,NF,11,0,0.75,0.25,0,0,0,0,0,0,0,0,3.5,0,14,0.13,0,330,A
NaNiO2,Ni,0,0,0,0,0,1,8,0,0,NF,11,0,1,0,0,0,0,0,0,0,0,0,3.5,0,14,0.13,0,330,A
NiO,Ni,0,0,0,0,0,0,6,0,1,GC,0,0,1,0,0,0,0,0,0,0,0,0,3.5,0,14,0.203,0,415,F
Co6.7Fe3.3Ox / NPC,Co,1,0,1,2,1,0,7,0,1,GC,0,6.7,0,3.3,0,0,0,0,0,0,0,0,3.5,0,14,0.357,0,362,F
CoGaOx,Co,0,0,0,0,0,1,8,0,0,NF,31,1,0,0,0,0,0,0,0,0,0,0,3.5,0,14,0.4,0,295,A
FeCoOx,Co,0,0,0,0,0,0,8,0,0,carbon_based,0,1,0,1,0,0,0,0,0,0,0,0,3.5,0,14,0.4,0,316,A
NiCo2O4,Co,0,0,0,0,0,0,6,0,1,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,3.5,0,14,0.5,0,330,A
CoO@OMC,Co,1,0,1,3,0,0,3,2,1,GC,0,1,0,0,0,0,0,0,0,0,0,0,3.5,0,14,0.567,0,420,F
NiFe2O4,Fe,0,0,0,0,0,0,6,0,0,carbon_based,0,0,1,2,0,0,0,0,0,0,0,0,3.5,0,14,1,1,302,A
Co3O4,Co,1,0,0,0,0,0,3,0,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,3.5,0,14,1,1,308,A
Co3O4/N-rmgo,Co,1,0,1,4,1,0,6,2,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,3.5,0,14,1,1,310,A
Co3O4  -RMGO,Co,1,0,1,4,0,0,6,2,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,3.5,0,14,1,1,320,A
CoO,Co,0,0,0,0,0,0,7,0,0,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,3.5,0,14,1,1,320,A
CoO,Co,0,0,0,0,0,0,2,0,0,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,3.5,0,14,2.5,1,320,A
NiCo2O4/NF,Co,1,0,0,0,0,0,2,1,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,3.5,0,14,3,1,350,A
ZnCo2O4/CF,Co,1,0,1,1,0,0,2,2,0,carbon_based,0,2,0,0,0,0,0,1,0,0,0,0,3.5,0,14,,,419,F
Co2VO4,Co,0,0,1,3,0,0,7,0,1,GC,0,2,0,0,0,0,0,0,0,1,0,0,3.75,0,14,0.694,0,300,A
NiCoMoO/NF,Ni,1,0,0,0,0,0,7,1,1,NF,0,1,1,0,1,0,0,0,0,0,0,0,3.75,0,14,10.5,1,320,A
Metal Ion Doped MnO2/CFP,Other TMs,1,0,1,1,0,0,7,2,1,carbon_based,0,0.016,0.002,0.109,0,1,0,0,0,0.109,0,0,3.75,0,14,800,1,390,F
FeCoOx,Co,0,0,0,0,0,0,8,0,0,TM_based,0,1,0,1,0,0,0,0,0,0,0,0,3.784482759,0,14,0.4,0,304,A
CoMoO4,Co,1,0,0,0,0,0,6,0,1,GC,0,1,0,0,1,0,0,0,0,0,0,0,3.928571429,0,14,0.285,0,312,A
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,4,0,14,0.084,0,420,F
NiO,Ni,0,0,0,0,0,0,6,0,0,NF,0,0,1,0,0,0,0,0,0,0,0,0,4,0,14,0.12,0,420,F
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,4,0,14,0.42,0,367,F
CG-CoO,Co,1,0,1,3,0,0,6,2,0,GC,0,1,0,0,0,0,0,0,0,0,0,0,4,0,14,0.7,0,420,F
CoCr2O4,Co,0,0,0,0,0,0,3,0,0,GC,0,1,0,0,0,0,0,0,2,0,0,0,4,0,14,0.84,0,400,F
Zn0.4Co2.6O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.6,0,0,0,0,0,0.4,0,0,0,0,4,0,13,1,1,306,A
FeCo2O4,Co,0,0,0,0,0,0,2,0,0,NF,0,2,0,1,0,0,0,0,0,0,0,0,4,0,14,,,410,F
