Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Overpotential (mV),Stability (h),"iR correction 
"
Ni3N,Ni,0,1,470,-,1
Ni3N/CC,Ni,0,1,256,18,1
NiO,Ni,0,0,470,-,1
Ni3N,Ni,0,1,300,-,1
Fe-NiOx,Ni,1,0,310,-,1
Fe-NiOx,Ni,1,0,355,-,1
NiO,Ni,0,0,418,-,1
Ni2Fe1-O,Ni,1,0,244,60,1
Ni2Fe1-O,Ni,1,0,293,-,1
Ni2Fe1-O,Ni,1,0,267,-,1
Ni2Fe1-O,Ni,1,0,256,-,1
Ni2Fe1-O,Ni,1,0,270,60,1
CoNi(1:1)-N        ,Ni,0,1,350,-,1
CoNi(1:3)-N        ,Ni,0,1,410,-,1
Ni3FeN/N-G,Ni,1,1,250,-,1
Ni3FeN,Ni,0,1,320,-,1
Ni0.5Co0.5Ox,Ni,0,0,320,-,1
Ni0.75Co0.25Ox,Ni,0,0,312,-,1
NiOx,Ni,0,0,300,-,1
Ni0.9Fe0.1Ox,Ni,0,0,297,-,1
NiOx/NiCo2O4/Co3O4,Ni,1,0,315,12,-
NiOx,Ni,0,0,378,-,-
Ni3FeN/NRGO,Ni,1,1,400,2,0
Ni3FeN,Ni,0,1,500,-,0
Ni3N/RGO,Ni,1,1,440,-,0
Ni3N,Ni,0,1,460,-,0
Pd/NiFeOx,Ni,0,0,180,50,1
Pd/NiO,Ni,0,0,290,-,1
NiO,Ni,0,0,335,-,1
NiFeOx,Ni,0,0,148,-,1
Pd/NiFeOx,Ni,0,0,169,-,1
Pd/NiO,Ni,0,0,217,-,1
NiO,Ni,0,0,370,-,1
NiFeOx,Ni,0,0,282,-,1
Pd/NiFeOx,Ni,0,0,310,-,1
Pd/NiO,Ni,0,0,460,-,1
NiFeOx,Ni,0,0,487,-,1
Ni3FeN,Ni,0,1,259,10,1
Ni3FeOx,Ni,0,0,352,-,1
Ni3N,Ni,0,1,315,-,1
NiO,Ni,0,0,415,-,1
Ni3N,Ni,0,1,360,-,1
Ni3N-NC,Ni,1,1,260,10,1
Ni3FeN,Ni,0,1,300,25,-
Ni3CoN,Ni,0,1,340,25,-
Ni3MnN,Ni,0,1,429,17,-
Ni−Ni0.2Mo0.8N,Ni,1,1,218,110,1
Ni3N,Ni,0,1,372,-,1
NiMoO4,Ni,0,1,241,-,1
Ni4Mo/MoO2,Ni,1,1,247,-,1
NiMnO3,Ni,0,0,670,-,1
NiMn2O4,Ni,0,0,560,-,1
 3.11NiMnO3/NiMn2O4,Ni,1,0,435,-,1
1.57NiMnO3/NiMn2O4,Ni,1,0,430,24,1
0.61NiMnO3/NiMn2O4,Ni,1,0,380,24,1
0.42NiMnO3/ NiMn2O4,Ni,1,0,510,-,1
Na0.08Ni0.9Fe0.1O2,Ni,1,0,260,30,1
NaNi0.9Fe0.1O2,Ni,1,0,290,70,1
NaNi0.8Fe0.2O2,Ni,1,0,320,-,1
NaNi0.75Fe0.25O2,Ni,1,0,330,-,1
Na0.41Ni0.9Fe0.1O2,Ni,1,0,270,-,1
Na0.01Ni0.9Fe0.1O2,Ni,1,0,270,-,1
NaNiO2,Ni,0,0,330,-,1
CoN/Ni3N/CC,Ni,1,1,247,24,1
NiN/CC,Ni,1,1,390,-,1
Co-Ni3N,Ni,0,1,307,24,1
Ni3N,Ni,0,1,397,-,1
Ni3FeN/r-GO,Ni,1,1,270,100,1
