Compound,Compound Class,Composite (Y or N),Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Catalyst Loading (mg/cm2),Overpotential (mV)
CoFe2O4/C,Fe,1,1,3,0,0,6,1,1,NF,0,1,0,2,0,0,0,0,0,0,0,0,4.857142667,14,1.03,240
Ni-NiO/N-rGO,Ni,1,1,4,1,0,3,2,0,GC,0,0,2,0,0,0,0,0,0,0,0,0,2.428571429,13,0.21,240
Ni2Fe1-O,Ni,1,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,,14,0.15,244
Ir0.6Cr0.4Ox-350,Other TMs,1,0,0,0,0,2,0,0,carbon_based,0,0,0,0,0,0,0,0,0.4,0,0,0,4.333333333,0,0.56,250
Co3O4/Fe2O3/NF,Co,1,0,0,0,0,7,1,1,NF,0,3,0,2,0,0,0,0,0,0,0,0,,14,0.325,254
Ni2Fe1-O,Ni,1,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,,14,0.2,256
CoO/Co3O4,Co,1,0,0,0,0,5,0,1,carbon_based,0,4,0,0,0,0,0,0,0,0,0,0,2.964285714,14,,260
Na0.08Ni0.9Fe0.1O2,Ni,1,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,14,0.13,260
CoOx/NC,Co,1,1,3,1,0,7,0,1,NF,0,1,0,0,0,0,0,0,0,0,0,0,,14,1,260
MoO2 / NF,Other TMs,1,0,0,0,0,7,1,1,NF,0,0,0,0,1,0,0,0,0,0,0,0,,14,2.9,260
NiFeOx/NF,Ni,1,0,0,0,0,7,1,1,NF,0,0,1,1,0,0,0,0,0,0,0,0,,14,,260
NiCo@C-NiCoMoO/NF,Ni,1,1,2,1,0,7,1,1,NF,0,2.32,1.11,0,1,0,0,0,0,0,0,0,6,14,10.5,260
TRGO/Co3O4,Co,1,1,4,0,0,6,2,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,3.5,0,0.01,260
Co3O4@C,Co,1,1,3,0,0,4,1,1,GC,0,6.2,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,261
NiFex/NiFe2O4@NC,Fe,1,1,2,1,0,6,0,1,carbon_based,0,0,2,3,0,0,0,0,0,0,0,0,,14,1,262
NiO/NiCo2O4,Ni,1,0,0,0,0,7,0,1,GC,0,2,2,0,0,0,0,0,0,0,0,0,,14,0.35,264
CeO2-CuCoO/NF,Co,1,0,0,0,1,6,1,1,NF,58,1,0,0,0,0,1,0,0,0,0,0,2.571428571,14,1,266
Ni2Fe1-O,Ni,1,0,0,0,0,2,0,1,GC,0,0,2,1,0,0,0,0,0,0,0,0,2.571428571,14,0.1,267
NiCo2O4@C,Co,1,1,1,0,0,6,0,0,NF,0,2,1,0,0,0,0,0,0,0,0,0,,14,1,267
S-NiFe2O4/NF,Fe,1,0,0,0,1,7,1,1,NF,16,0,1,2,0,0,0,0,0,0,0,0,6.75,14,,267
CoO/Co3O4,Co,1,0,0,0,0,5,0,1,TM_based,0,4,0,0,0,0,0,0,0,0,0,0,,14,,270
Na0.01Ni0.9Fe0.1O2,Ni,1,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,14,0.13,270
Na0.41Ni0.9Fe0.1O2,Ni,1,0,0,0,1,8,0,0,NF,11,0,0.9,0.1,0,0,0,0,0,0,0,0,,14,0.13,270
Ni2Fe1-O,Ni,1,0,0,0,0,2,0,1,NF,0,0,2,1,0,0,0,0,0,0,0,0,5.166666667,14,5.4,270
Co3O4/CeO2,Co,1,1,4,0,1,4,0,0,GC,58,3,0,0,0,0,0,0,0,0,0,0,,14,0.204,270
NiO-Cr2O3,Ni,1,1,3,0,0,4,0,0,GC,0,0,1,0,0,0,0,0,2,0,0,0,,14,0.25,270
MnOx/CNT/NF,Other TMs,1,1,1,0,0,6,1,1,NF,0,0,0,0,0,1,0,0,0,0,0,0,3,14,0.28,270
CoO-NiO-NiCo/NCNT,Co,1,1,1,1,0,3,2,0,GC,0,2,2,0,0,0,0,0,0,0,0,0,1.214285714,14,0.21,270
Au/CoMoO4,Co,1,0,0,0,1,7,3,1,GC,79,1,0,0,1,0,0,0,0,0,0,0,2.571428571,14,7.25,270
FeMnO/CC,Fe,1,0,0,0,0,7,2,1,carbon_based,0,0,0,1,0,1,0,0,0,0,0,0,,14,1.6,273
S-Fe3O4/NF,Fe,1,0,0,0,1,7,1,1,NF,16,0,0,3,0,0,0,0,0,0,0,0,,14,,279
C/ZnCo2O4/ZnO/CF,Co,1,1,1,0,0,4,2,0,carbon_based,0,2,0,0,0,0,0,2,0,0,0,0,6,14,,279
NiCo-NiCoMoO/NF,Ni,1,0,0,0,0,7,1,1,NF,0,2.32,1.11,0,1,0,0,0,0,0,0,0,3.666666667,14,10.5,280
P-Co3O4,Co,1,0,0,0,1,7,3,0,TM_based,15,3,0,0,0,0,0,0,0,0,0,0,,14,0.4,280
NiCo2O3@OMC,Co,1,1,3,0,0,3,2,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,4.5,14,0.567,281
