Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Concentration Electrolyte,Catalyst Loading (mg/cm2),Overpotential (mV)
Fe0.75Ni0.25Co2O4,Co,0,0,0,0,0,0,2,0,0,NF,0,2,0.25,0.75,0,0,0,0,0,0,0,0,2.428571429,14,1,,400
Co3O4,Co,0,0,0,0,0,0,6,0,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,1,403
Co8.7Fe1.3Ox,Co,0,0,1,2,1,0,7,0,1,GC,0,8.7,0,1.3,0,0,0,0,0,0,0,0,2.71,14,1,0.357,408
CoMoO4,Co,0,0,0,0,0,0,2,0,0,GC,0,1,0,0,1,0,0,0,0,0,0,0,6,14,1,0.125,410
Fe0.9Ni0.1Co2O4,Co,0,0,0,0,0,0,2,0,0,NF,0,2,0.1,0.9,0,0,0,0,0,0,0,0,2.428571429,14,1,,410
FeCo2O4,Co,0,0,0,0,0,0,2,0,0,NF,0,2,0,1,0,0,0,0,0,0,0,0,4,14,1,,410
Co3O4,Co,0,0,0,0,0,0,6,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,13,0.1,0.1,411
Co2N,Co,0,1,0,0,0,0,3,0,0,GC,0,2,0,0,0,0,0,0,0,0,0,0,2.857,14,1,0.284,413
Co3O4,Co,0,0,0,0,0,0,2,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,14,1,,414
Co3O4,Co,0,0,0,0,0,0,2,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,0.285,414
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,4,14,1,0.084,420
Co3O4,Co,0,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,0.14,420
FeCo9O,Co,0,0,1,3,0,0,7,0,0,GC,0,9,0,1,0,0,0,0,0,0,0,0,2.57,13,0.1,0.36,420
Co3O4,Co,0,0,0,0,0,0,6,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,14,1,0.21,422
Co3O4,Co,0,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,13,0.1,0.2,426
NiCo2O4,Co,0,0,0,0,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,14,1,,426
